index,n,time
min-conflicts,33,0.034
min-conflicts,5,0.001
forward-checking,70,3.684
forward-checking,18,0.011
forward-checking,65,2.758
forward-checking,59,195.045
backtracking,53,0.204
forward-checking,15,0.007
forward-checking,51,7.873
min-conflicts,2,0.0
backtracking,31,0.082
min-conflicts,15,0.005
min-conflicts,16,0.001
min-conflicts,85,0.109
forward-checking,64,0.952
min-conflicts,12,0.001
backtracking,22,0.026
forward-checking,22,0.018
min-conflicts,6,0.0
forward-checking,6,0.001
forward-checking,8,0.002
min-conflicts,13,0.0
forward-checking,4,0.001
min-conflicts,81,0.161
forward-checking,17,0.022
forward-checking,80,0.717
backtracking,64,1.461
min-conflicts,70,0.059
min-conflicts,9,0.001
backtracking,65,0.995
backtracking,13,0.006
min-conflicts,35,0.021
backtracking,26,0.039
min-conflicts,11,0.002
min-conflicts,27,0.011
min-conflicts,73,0.566
backtracking,70,0.499
forward-checking,59,0.449
backtracking,17,0.011
min-conflicts,12,0.001
backtracking,35,0.065
backtracking,44,2.023
forward-checking,33,0.062
forward-checking,63,0.496
backtracking,43,2.593
forward-checking,60,0.29
backtracking,58,0.441
min-conflicts,23,0.003
backtracking,79,1.279
min-conflicts,26,0.009
min-conflicts,34,0.021
min-conflicts,62,0.078
forward-checking,58,0.319
min-conflicts,25,0.02
forward-checking,52,0.293
backtracking,52,0.326
forward-checking,25,0.031
forward-checking,63,0.445
backtracking,12,0.005
forward-checking,45,3.595
forward-checking,30,0.438
min-conflicts,21,0.008
forward-checking,14,0.008
min-conflicts,18,0.004
min-conflicts,53,0.085
backtracking,29,0.162
forward-checking,25,5.884
forward-checking,21,0.019
min-conflicts,71,0.178
backtracking,37,0.09
min-conflicts,32,0.009
min-conflicts,22,0.011
forward-checking,37,0.171
min-conflicts,54,0.096
min-conflicts,41,0.023
forward-checking,67,1.197
min-conflicts,45,0.039
forward-checking,57,76.27
min-conflicts,37,0.033
forward-checking,8,0.003
backtracking,85,102.691
forward-checking,78,49.337
forward-checking,59,0.25
min-conflicts,14,0.003
min-conflicts,11,0.001
min-conflicts,20,0.011
min-conflicts,40,0.078
min-conflicts,57,0.032
backtracking,11,0.004
backtracking,16,0.009
backtracking,81,0.972
backtracking,23,0.027
forward-checking,82,13.96
min-conflicts,40,0.022
forward-checking,58,169.176
backtracking,48,0.452
min-conflicts,76,0.123
min-conflicts,22,0.003
forward-checking,50,0.157
backtracking,6,0.001
forward-checking,46,0.137
forward-checking,31,0.053
forward-checking,57,2.747
min-conflicts,52,0.045
forward-checking,74,0.915
forward-checking,34,0.096
min-conflicts,82,0.14
forward-checking,27,0.042
min-conflicts,36,0.033
backtracking,59,6.982
min-conflicts,22,0.004
min-conflicts,4,0.0
forward-checking,30,0.057
forward-checking,16,0.008
min-conflicts,25,0.005
forward-checking,22,0.02
forward-checking,5,0.001
forward-checking,66,0.748
min-conflicts,12,0.002
forward-checking,75,17.984
min-conflicts,11,0.003
min-conflicts,67,0.284
min-conflicts,26,0.019
min-conflicts,18,0.003
backtracking,15,0.008
backtracking,4,0.001
min-conflicts,78,0.172
forward-checking,56,0.248
min-conflicts,27,0.013
min-conflicts,44,0.078
min-conflicts,13,0.001
min-conflicts,4,0.0
min-conflicts,83,0.201
min-conflicts,15,0.008
min-conflicts,10,0.001
backtracking,86,5.241
min-conflicts,33,0.012
min-conflicts,55,0.102
backtracking,28,0.081
min-conflicts,9,0.0
forward-checking,23,0.026
min-conflicts,37,0.021
forward-checking,27,0.052
min-conflicts,72,0.11
forward-checking,20,0.033
min-conflicts,12,0.001
forward-checking,75,232.114
forward-checking,56,8.522
backtracking,57,43.466
min-conflicts,71,0.143
forward-checking,41,0.086
forward-checking,19,0.013
min-conflicts,31,0.005
backtracking,36,0.076
min-conflicts,59,0.131
forward-checking,77,0.613
min-conflicts,8,0.001
forward-checking,5,0.002
backtracking,61,0.37
min-conflicts,16,0.002
min-conflicts,48,0.119
backtracking,19,0.031
backtracking,52,0.187
min-conflicts,46,0.067
forward-checking,12,0.005
min-conflicts,34,0.012
forward-checking,43,0.104
forward-checking,20,0.015
forward-checking,51,6.511
backtracking,13,0.006
min-conflicts,63,0.065
min-conflicts,95,0.255
forward-checking,50,0.192
min-conflicts,51,0.071
backtracking,18,0.012
forward-checking,23,0.026
forward-checking,16,0.008
min-conflicts,40,0.029
backtracking,63,1.81
forward-checking,44,0.137
forward-checking,58,0.254
forward-checking,65,0.392
min-conflicts,7,0.001
min-conflicts,30,0.022
min-conflicts,109,0.372
min-conflicts,5,0.0
backtracking,51,0.64
min-conflicts,36,0.017
forward-checking,50,0.169
forward-checking,49,7.001
forward-checking,79,20.599
forward-checking,28,0.045
backtracking,15,0.012
min-conflicts,45,0.047
backtracking,62,0.345
backtracking,69,1.746
min-conflicts,66,0.332
min-conflicts,35,0.017
forward-checking,42,22.143
forward-checking,33,0.061
min-conflicts,7,0.001
min-conflicts,20,0.003
backtracking,57,11.629
backtracking,63,0.301
min-conflicts,25,0.014
min-conflicts,53,0.092
backtracking,50,0.161
forward-checking,31,0.053
backtracking,9,0.003
forward-checking,72,20.767
min-conflicts,28,0.032
backtracking,84,4.303
backtracking,46,0.125
min-conflicts,18,0.003
backtracking,42,0.911
backtracking,18,0.011
forward-checking,70,130.807
forward-checking,62,0.279
forward-checking,35,0.266
min-conflicts,89,0.438
forward-checking,23,0.022
forward-checking,10,0.003
backtracking,53,0.487
min-conflicts,44,0.014
min-conflicts,53,0.075
min-conflicts,34,0.007
min-conflicts,91,0.155
forward-checking,29,0.05
forward-checking,7,0.002
min-conflicts,81,0.286
backtracking,69,0.817
forward-checking,56,0.235
forward-checking,61,2.35
forward-checking,40,0.135
backtracking,30,0.055
